market_cap_bucket,symbol_days,open_window_rate
gt_10b,6110,0.9620294599018003
2b_to_10b,7150,0.889090909090909
300m_to_2b,3770,0.8726790450928382
50m_to_300m,195,0.6
unknown,112645,0.25327355852456834
lt_50m,130,0.23076923076923078
