exchange,symbol_days,open_window_rate
YHD,65,0.9846153846153847
NYQ,10270,0.9138266796494645
NMS,5135,0.8991236611489776
NGM,1885,0.8907161803713528
NCM,1040,0.8048076923076923
NYSE,37765,0.284866940288627
NASDAQ,72605,0.2313477033262172
UNKNOWN,1235,0.05263157894736842
