branch_label,trade_count,win_rate,avg_trade_ret,expectancy,avg_MFE,avg_MAE,exit_reason_stop,exit_reason_target,exit_reason_time_exit
continuation_compare,3,0.3333333333333333,-0.6676133091582784,-0.6676133091582788,1.9717568443730638,-4.542751669954185,1,1,1
reclaim_first5_high,7,0.5714285714285714,1.0540905589417515,1.054090558941751,5.340198345059077,-4.7850083604765725,3,3,1
reclaim_vwap,7,0.5714285714285714,1.053212130777798,1.0532121307777982,6.582412417727853,-4.006591178139108,3,4,0
