security_type,symbol_days,open_window_rate,selected_rate
common_stock,94055,0.4373611184944979,2.1264153952474617e-05
adr,195,0.3435897435897436,0.0
etf,14625,0.19063247863247862,0.0
preferred,9360,0.01730769230769231,0.0
rights,1495,0.006020066889632107,0.0
warrant,6890,0.0043541364296081275,0.0
unit,3380,0.0029585798816568047,0.0
