exchange,symbol_days,open_window_rate
YHD,65,0.9846153846153847
NYQ,8710,0.9196326061997704
NMS,4225,0.8963313609467456
NGM,1560,0.8948717948717949
NCM,715,0.8839160839160839
NYSE,39325,0.3085314685314685
NASDAQ,74165,0.24425267983550192
UNKNOWN,1235,0.05263157894736842
