branch_label,trade_count,win_rate,avg_trade_ret,expectancy,avg_MFE,avg_MAE,exit_reason_stop,exit_reason_target,exit_reason_time_exit
continuation_compare,19,0.3684210526315789,-2.6717120443478986,-2.6717120443478994,5.335427416247953,-5.909335604271445,9,4,6
reclaim_first5_high,24,0.5,0.5822934850510013,0.5822934850510009,4.204142505212229,-3.536310471231754,10,7,7
reclaim_vwap,26,0.5384615384615384,0.839229891487142,0.8392298914871421,5.202625157442153,-2.7127452173097,12,14,0
