trade_date,branch,candidate_count,entry_count,closed_trades,win_rate,realized_pnl_usd,realized_pnl_pct,avg_hold_min
2026-04-16,reclaim_first5_high,1,0,0,,0,,
2026-04-16,reclaim_vwap,1,0,0,,0,,
2026-04-16,continuation_compare,1,0,0,,0,,
