trade_date,branch,symbol,gate_fail_reason,skip_reason
2026-01-20,continuation_compare,CTMX,regime_fail,gate_fail
2026-01-21,continuation_compare,CRVS,vwap_fail,gate_fail
2026-01-21,reclaim_first5_high,CRVS,regime_fail|vwap_fail,not_regime_b
2026-01-21,reclaim_vwap,CRVS,regime_fail|vwap_fail,not_regime_b
2026-01-22,reclaim_first5_high,ALM,regime_fail|vwap_fail,not_regime_b
2026-01-22,reclaim_vwap,ALM,regime_fail|vwap_fail,not_regime_b
2026-01-23,reclaim_first5_high,CRVS,regime_fail|vwap_fail,not_regime_b
2026-01-23,reclaim_vwap,CRVS,regime_fail|vwap_fail,not_regime_b
2026-01-26,reclaim_first5_high,ALM,regime_fail,not_regime_b
2026-01-26,reclaim_vwap,ALM,regime_fail,not_regime_b
2026-01-29,continuation_compare,AAOI,regime_fail|vwap_fail|range_fail,gate_fail
2026-01-29,reclaim_first5_high,AAOI,vwap_fail|range_fail,gate_fail
2026-01-29,reclaim_vwap,AAOI,vwap_fail|range_fail,gate_fail
2026-01-30,continuation_compare,AMPX,regime_fail|pace_fail,gate_fail
2026-01-30,reclaim_first5_high,AMPX,pace_fail,gate_fail
2026-01-30,reclaim_vwap,AMPX,pace_fail,gate_fail
2026-02-04,continuation_compare,AES,regime_fail|range_fail,gate_fail
2026-02-04,reclaim_first5_high,AES,vwap_fail|range_fail,gate_fail
2026-02-04,reclaim_vwap,AES,vwap_fail|range_fail,gate_fail
2026-02-05,continuation_compare,AGI,regime_fail,gate_fail
2026-02-05,continuation_compare,CE,vwap_fail|range_fail,gate_fail
2026-02-05,reclaim_first5_high,CE,regime_fail|vwap_fail|range_fail,not_regime_b
2026-02-05,reclaim_vwap,CE,regime_fail|vwap_fail|range_fail,not_regime_b
2026-02-09,continuation_compare,BILL,regime_fail,gate_fail
2026-02-12,continuation_compare,BWA,pace_fail,gate_fail
2026-02-12,reclaim_first5_high,BWA,regime_fail,not_regime_b
2026-02-12,reclaim_vwap,BWA,regime_fail,not_regime_b
2026-02-13,continuation_compare,CGNX,vwap_fail|range_fail,gate_fail
2026-02-13,reclaim_first5_high,CGNX,regime_fail|vwap_fail|range_fail,not_regime_b
2026-02-13,reclaim_vwap,CGNX,regime_fail|vwap_fail|range_fail,not_regime_b
2026-02-17,continuation_compare,ASTL,regime_fail|vwap_fail|range_fail|pace_fail,gate_fail
2026-02-17,reclaim_first5_high,ASTL,vwap_fail|range_fail|pace_fail,gate_fail
2026-02-17,reclaim_vwap,ASTL,vwap_fail|range_fail|pace_fail,gate_fail
2026-02-25,continuation_compare,ARDX,regime_fail|vwap_fail|range_fail,gate_fail
