trade_date,branch,candidate_count,gate_pass_count,trigger_touch_count,entry_count,closed_trades,win_rate,realized_pnl_usd,realized_pnl_pct,avg_hold_min,no_trigger_count,invalid_risk_count,entry_window_closed_count,exit_reason_stop,exit_reason_target,exit_reason_time_exit
2026-01-20,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-01-20,reclaim_first5_high,1,1,1,1,1,1.0,12.704691405000167,1.0937888999425667,377.0,0,0,0,0.0,0.0,1.0
2026-01-20,reclaim_vwap,1,1,1,1,1,1.0,101.23318279349415,5.462931269305125,19.0,0,0,0,0.0,1.0,0.0
2026-01-21,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-01-21,reclaim_first5_high,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-01-21,reclaim_vwap,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-01-22,continuation_compare,1,1,0,0,0,,0.0,,,1,0,0,,,
2026-01-22,reclaim_first5_high,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-01-22,reclaim_vwap,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-01-23,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-01-23,reclaim_first5_high,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-01-23,reclaim_vwap,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-01-26,continuation_compare,1,1,0,0,0,,0.0,,,1,0,0,,,
2026-01-26,reclaim_first5_high,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-01-26,reclaim_vwap,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-01-27,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-01-27,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-01-27,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-01-28,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-01-28,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-01-28,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,,
2026-01-29,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-01-29,reclaim_first5_high,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-01-29,reclaim_vwap,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-01-30,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,,
2026-01-30,reclaim_first5_high,1,0,0,0,0,,0.0,,,0,0,0,,,
