trade_date,universe_count,d1_missing_daily_count,d1_price_fail_count,d1_liquidity_fail_count,d1_non_common_fail_count,d1_market_cap_fail_count,d1_gap_fail_count,d1_rel_vol_fail_count,d1_close_strength_fail_count,watchlist_count,scan_missing_first5_count,scan_gap_fail_count,scan_range_fail_count,scan_oc_ret_fail_count,scan_pace_fail_count,scan_vwap_fail_count,candidate_0935_count
2026-01-14,2000,33,704,1120,5,31,104,3,0,0,0,0,0,0,0,0,0
2026-01-15,2000,30,709,1115,5,30,107,3,1,0,0,0,0,0,0,0,0
2026-01-16,2000,26,710,1118,5,29,106,6,0,0,0,0,0,0,0,0,0
2026-01-20,2000,22,710,1124,5,29,108,1,1,0,0,0,0,0,0,0,0
2026-01-21,2000,21,710,1121,5,31,103,7,1,1,0,0,1,0,0,1,0
2026-01-22,2000,20,714,1118,5,29,106,8,0,0,0,0,0,0,0,0,0
2026-01-23,2000,20,711,1123,5,30,104,6,0,1,0,1,0,0,0,1,0
2026-01-26,2000,20,710,1121,5,30,110,3,1,0,0,0,0,0,0,0,0
2026-01-27,2000,20,711,1114,5,30,115,4,1,0,0,0,0,0,0,0,0
2026-01-28,2000,20,709,1113,5,29,121,3,0,0,0,0,0,0,0,0,0
2026-01-29,2000,19,714,1104,5,30,121,5,2,0,0,0,0,0,0,0,0
2026-01-30,2000,19,714,1099,5,30,122,7,3,1,0,1,0,0,1,0,0
2026-02-02,2000,18,717,1096,5,30,132,2,0,0,0,0,0,0,0,0,0
2026-02-03,2000,17,724,1090,5,30,130,3,1,0,0,0,0,0,0,0,0
2026-02-04,2000,16,725,1088,6,31,122,11,0,1,0,1,1,1,0,1,0
2026-02-05,2000,16,729,1082,6,31,127,8,0,1,0,0,1,1,1,1,0
2026-02-06,2000,16,734,1076,5,32,135,2,0,0,0,0,0,0,0,0,0
2026-02-09,2000,16,730,1084,6,31,108,24,0,1,0,1,0,0,0,0,0
2026-02-10,2000,16,734,1082,7,30,128,3,0,0,0,0,0,0,0,0,0
2026-02-11,2000,16,728,1088,7,31,129,1,0,0,0,0,0,0,0,0,0
2026-02-12,2000,16,738,1076,7,31,123,9,0,0,0,0,0,0,0,0,0
2026-02-13,2000,16,738,1074,7,31,131,2,0,1,0,1,1,1,0,1,0
2026-02-17,2000,16,732,1079,7,30,128,6,2,0,0,0,0,0,0,0,0
2026-02-18,2000,16,734,1077,7,32,132,2,0,0,0,0,0,0,0,0,0
2026-02-19,2000,16,738,1073,7,30,130,3,3,0,0,0,0,0,0,0,0
2026-02-20,2000,16,742,1067,7,28,138,2,0,0,0,0,0,0,0,0,0
2026-02-23,2000,16,736,1072,7,29,137,3,0,0,0,0,0,0,0,0,0
2026-02-24,2000,16,735,1072,7,29,139,2,0,0,0,0,0,0,0,0,0
2026-02-25,2000,15,737,1071,7,29,138,2,0,1,0,1,1,1,0,1,0
2026-02-26,2000,15,740,1065,7,30,134,7,2,0,0,0,0,0,0,0,0
2026-02-27,2000,15,732,1073,7,30,134,4,3,2,0,2,1,2,1,1,0
2026-03-02,2000,15,734,1073,6,30,137,4,0,1,0,1,0,0,0,0,0
2026-03-03,2000,15,733,1076,6,30,132,8,0,0,0,0,0,0,0,0,0
