trade_date,universe_count,d1_missing_daily_count,d1_price_fail_count,d1_liquidity_fail_count,d1_non_common_fail_count,d1_market_cap_fail_count,d1_gap_fail_count,d1_rel_vol_fail_count,d1_close_strength_fail_count,watchlist_count,scan_missing_first5_count,scan_gap_fail_count,scan_range_fail_count,scan_oc_ret_fail_count,scan_pace_fail_count,scan_vwap_fail_count,candidate_0935_count
2026-03-04,2000,15,728,1077,8,30,140,2,0,0,0,0,0,0,0,0,0
2026-03-05,2000,15,726,1084,8,29,124,12,2,0,0,0,0,0,0,0,0
2026-03-06,2000,15,725,1081,8,31,138,1,0,1,0,1,0,0,0,0,0
2026-03-09,2000,15,714,1087,8,35,139,1,0,1,0,1,1,0,0,1,0
2026-03-10,2000,15,714,1091,8,33,138,1,0,0,0,0,0,0,0,0,0
2026-03-11,2000,15,712,1090,8,36,135,4,0,0,0,0,0,0,0,0,0
2026-03-12,2000,15,708,1097,8,36,134,2,0,0,0,0,0,0,0,0,0
2026-03-13,2000,15,709,1094,8,36,137,1,0,0,0,0,0,0,0,0,0
2026-03-16,2000,15,708,1096,8,36,132,5,0,0,0,0,0,0,0,0,0
2026-03-17,2000,15,711,1096,9,34,123,10,1,1,0,1,1,1,1,1,0
2026-03-18,2000,15,714,1096,8,34,124,8,0,1,0,0,0,0,0,0,1
2026-03-19,2000,15,715,1093,8,35,132,2,0,0,0,0,0,0,0,0,0
2026-03-20,2000,15,716,1090,8,34,136,1,0,0,0,0,0,0,0,0,0
2026-03-23,2000,15,716,1087,8,35,137,2,0,0,0,0,0,0,0,0,0
2026-03-24,2000,15,719,1085,8,35,117,20,0,1,0,1,0,0,0,0,0
2026-03-25,2000,15,727,1083,8,34,132,1,0,0,0,0,0,0,0,0,0
2026-03-26,2000,15,730,1076,9,35,114,19,2,0,0,0,0,0,0,0,0
2026-03-27,2000,15,731,1079,7,34,133,1,0,0,0,0,0,0,0,0,0
2026-03-30,2000,15,725,1088,7,35,128,1,1,0,0,0,0,0,0,0,0
2026-03-31,2000,15,729,1086,7,34,122,5,2,0,0,0,0,0,0,0,0
2026-04-01,2000,15,729,1085,7,32,112,16,3,1,0,0,0,0,0,0,1
2026-04-02,2000,15,731,1087,7,31,119,10,0,0,0,0,0,0,0,0,0
2026-04-06,2000,15,725,1089,8,32,125,6,0,0,0,0,0,0,0,0,0
2026-04-07,2000,15,728,1086,8,32,128,3,0,0,0,0,0,0,0,0,0
2026-04-08,2000,15,724,1093,7,32,126,2,1,0,0,0,0,0,0,0,0
2026-04-09,2000,15,734,1083,9,33,56,67,3,0,0,0,0,0,0,0,0
2026-04-10,2000,15,741,1076,9,33,124,2,0,0,0,0,0,0,0,0,0
2026-04-13,2000,15,748,1065,9,33,128,1,0,1,0,1,1,1,1,1,0
2026-04-14,2000,15,744,1070,9,32,129,1,0,0,0,0,0,0,0,0,0
2026-04-15,2000,14,740,1075,10,32,116,13,0,0,0,0,0,0,0,0,0
2026-04-16,2000,14,731,1082,10,33,123,5,2,0,0,0,0,0,0,0,0
2026-04-17,2000,14,736,1078,10,32,123,7,0,0,0,0,0,0,0,0,0
