exchange,symbol_days,open_window_rate
NCM,260,0.9961538461538462
NMS,1040,0.989423076923077
NYQ,2860,0.9884615384615385
YHD,65,0.9846153846153847
NGM,715,0.9244755244755245
NYSE,45175,0.3833093525179856
NASDAQ,78650,0.27947870311506673
UNKNOWN,1235,0.05263157894736842
