trade_date,branch,symbol,candidate_count,entry_count,closed_trades,win_rate,realized_pnl_usd,realized_pnl_pct,avg_hold_min,gate_pass,trigger_touched,gate_fail_reason,skip_reason,entry_price,stop_price,target_price,exit_price,exit_reason,qty,risk_per_share,mfe_pct,mae_pct,slippage_bps_per_side,fee_bps_round_trip,effective_stop_price
2026-03-20,continuation_compare,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-03-20,reclaim_first5_high,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-03-20,reclaim_vwap,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-03-23,continuation_compare,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-03-23,reclaim_first5_high,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-03-23,reclaim_vwap,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-03-24,continuation_compare,CNH,1,0,0,,,,,0,0,regime_fail,gate_fail,,,,,,,,,,,,
2026-03-24,reclaim_first5_high,CNH,1,1,1,1.0,89.86440621600002,5.109651416952973,368,1,1,,,10.22511,9.93,10.820150000000003,10.749622500000001,time_exit,172.0,0.2900000000000009,5.671234832681495,-0.0010757830478221233,5.0,2.0,9.925035
2026-03-24,reclaim_vwap,CNH,1,1,1,1.0,101.91091704164825,3.7708653867940414,37,1,1,,,10.122048620670876,9.93,10.511017366949826,10.505761858266352,target,267.0,0.18699012560807304,6.747165568187703,0.5725261901111359,5.0,2.0,9.925035
2026-03-25,continuation_compare,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-03-25,reclaim_first5_high,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-03-25,reclaim_vwap,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-03-26,continuation_compare,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-03-26,reclaim_first5_high,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-03-26,reclaim_vwap,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-03-27,continuation_compare,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-03-27,reclaim_first5_high,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-03-27,reclaim_vwap,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-03-30,continuation_compare,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-03-30,reclaim_first5_high,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-03-30,reclaim_vwap,,0,0,0,,0.0,,,0,0,no_candidates,no_candidates,,,,,,,,,,,,
2026-03-31,continuation_compare,BBWI,1,0,0,,,,,0,0,vwap_fail|range_fail|pace_fail,gate_fail,,,,,,,,,,,,
2026-03-31,reclaim_first5_high,BBWI,1,0,0,,,,,0,0,regime_fail|vwap_fail|range_fail|pace_fail,not_regime_b,,,,,,,,,,,,
2026-03-31,reclaim_vwap,BBWI,1,0,0,,,,,0,0,regime_fail|vwap_fail|range_fail|pace_fail,not_regime_b,,,,,,,,,,,,
2026-04-01,continuation_compare,ALKS,1,0,0,,,,,1,0,,no_trigger,,,,,,,,,,,,
2026-04-01,continuation_compare,AMPX,1,0,0,,,,,1,0,,no_trigger,,,,,,,,,,,,
2026-04-01,continuation_compare,CMPX,1,0,0,,,,,0,0,pace_fail,gate_fail,,,,,,,,,,,,
2026-04-01,reclaim_first5_high,ALKS,1,0,0,,,,,0,0,regime_fail,not_regime_b,,,,,,,,,,,,
2026-04-01,reclaim_first5_high,AMPX,1,0,0,,,,,0,0,regime_fail,not_regime_b,,,,,,,,,,,,
2026-04-01,reclaim_first5_high,CMPX,1,0,0,,,,,0,0,regime_fail|pace_fail,not_regime_b,,,,,,,,,,,,
