trade_date,branch,symbol,candidate_count,entry_count,closed_trades,win_rate,realized_pnl_usd,realized_pnl_pct,avg_hold_min,skip_reason
2026-04-16,reclaim_first5_high,ANNX,1,0,0,,,,,gate_fail
2026-04-16,reclaim_vwap,ANNX,1,0,0,,,,,gate_fail
2026-04-16,continuation_compare,ANNX,1,0,0,,,,,gate_fail
