regime_label,regime_count,avg_day_oc_ret,win_rate,avg_first5_oc_ret,p50_first5_oc_ret,avg_first5_range_pos,p50_first5_range_pos,avg_close_vs_vwap,p50_close_vs_vwap,continuation_pass_count,reclaim_branch_count
regime_a_open_above_prev_close,16,-0.5768094876584081,0.3125,0.7516099649671926,0.36411723092994425,0.4967371033204869,0.5871251885369535,-0.05698616896863615,-0.21937358854786648,5,0
regime_b_open_at_or_below_prev_close,17,0.4209306371098763,0.5882352941176471,-0.0799326255610967,-0.6423982869379069,0.5148088334496699,0.5821256038647298,0.20328951551796226,0.0,0,17
