symbol,trade_date,open_D,close_D-1,open_gap_vs_prev_close,first5_open,first5_high,first5_low,first5_close,first5_volume,first5_oc_ret,first5_range_pos,close_vs_vwap,day_oc_ret,intraday_high_ret_from_open,intraday_low_ret_from_open,regime_label,continuation_pass,reclaim_prev_close,reclaim_vwap,reclaim_first5_high,reclaim_branch_candidate,open_to_close_win
BTDR,2026-01-15,14.735,14.795,-0.4055424129773606,14.735,14.85,14.55,14.59,6977.0,-0.9840515778758031,0.13333333333333097,-0.663308746644875,3.6308109942314233,5.870376654224637,-2.9860875466576147,regime_b_open_at_or_below_prev_close,False,True,True,True,True,True
CTMX,2026-01-20,5.295,5.4,-1.9444444444444522,5.295,5.35,5.12,5.26,6816.0,-0.6610009442870659,0.6086956521739129,0.03591030960716779,1.2275731822474105,5.19357884796979,-3.305004721435313,regime_b_open_at_or_below_prev_close,False,True,True,True,True,True
CRVS,2026-01-21,21.88,21.415,2.1713752042960537,21.88,23.755,21.88,22.86,30027.0,4.4789762340036585,0.522666666666667,-0.4406117620084471,1.3254113345521148,8.56946983546618,-10.420475319926863,regime_a_open_above_prev_close,False,True,True,False,False,True
ALM,2026-01-22,10.19,10.135,0.5426739023186948,10.19,10.28,10.12,10.225,7558.0,0.3434739941118758,0.6562500000000021,-0.03835198977624188,2.6496565260059017,5.103042198233576,-1.570166830225713,regime_a_open_above_prev_close,True,True,True,True,False,True
CRVS,2026-01-23,25.595,25.53,0.2546024285154631,25.595,26.18,25.595,25.99,5619.0,1.5432701699550677,0.6752136752136735,-0.16160403412236457,-2.0121117405743334,4.981441687829663,-2.3246727876538342,regime_a_open_above_prev_close,False,True,True,True,False,False
ALM,2026-01-26,11.88,11.105,6.978838361098608,11.88,12.955,11.85,12.57,23172.0,5.8080808080808035,0.6515837104072402,1.0248783683134643,-2.5673400673400795,9.048821548821543,-2.861952861952876,regime_a_open_above_prev_close,True,True,True,False,False,False
AAOI,2026-01-29,42.93,45.29,-5.210863325237359,42.93,42.93,41.25,41.25,8664.0,-3.913347309573724,0.0,-2.1809723721530228,-7.88492895411134,0.0,-13.37060330771023,regime_b_open_at_or_below_prev_close,False,False,True,False,True,False
AMPX,2026-01-30,13.26,13.57,-2.2844509948415657,13.26,13.94,13.13,13.94,1283.0,5.128205128205126,1.0,3.635735717290589,-6.259426847662142,5.279034690799405,-7.993966817496233,regime_b_open_at_or_below_prev_close,False,True,True,False,True,False
AES,2026-02-04,15.885,16.095,-1.3047530288909541,15.885,15.885,15.64,15.7,11801.0,-1.164620711362924,0.24489795918366902,-0.16314393383801695,-0.9442870632672354,0.0,-2.1403840100723945,regime_b_open_at_or_below_prev_close,False,False,True,True,True,False
AGI,2026-02-05,39.44,40.48,-2.5691699604743063,39.44,40.025,39.44,39.94,5590.0,1.2677484787018256,0.8547008547008534,0.045096887508178085,-4.487829614604453,2.1805273833671386,-4.71602434077079,regime_b_open_at_or_below_prev_close,False,False,True,True,True,False
CE,2026-02-05,54.88,52.71,4.116865869853921,54.88,55.075,53.43,53.43,2117.0,-2.642128279883387,0.0,-1.3883928046007132,-5.1020408163265385,0.3553206997084553,-6.5779883381924185,regime_a_open_above_prev_close,False,True,True,False,False,False
BILL,2026-02-09,48.24,48.84,-1.2285012285012313,48.24,49.11,47.5,49.11,7982.0,1.8034825870646711,1.0,0.9355377397945119,5.223880597014917,5.265339966832502,-1.9693200663349977,regime_b_open_at_or_below_prev_close,False,True,True,True,True,True
BWA,2026-02-12,67.445,66.11,2.0193616699440233,67.445,68.58,67.445,68.24,2113.0,1.178738231151311,0.7004405286343596,0.14808869458127205,-1.3418340870338603,3.817925717251098,-2.780042997998369,regime_a_open_above_prev_close,False,True,True,True,False,False
